,method,iteration,data
0,IMT,0,3.0966124133434163
1,IMT,1,3.096083112978941
2,IMT,2,3.096084471952658
3,IMT,3,3.096292734535266
4,IMT,4,3.0962940863383217
5,IMT,5,3.096295122574619
6,IMT,6,3.0962941858928184
7,IMT,7,3.096303894983602
8,IMT,8,3.096305552134138
9,IMT,9,3.0963028923379206
10,IMT,10,3.096223724065147
11,IMT,11,3.0961717064344945
12,IMT,12,3.0961710108101768
13,IMT,13,3.0960629695964577
14,IMT,14,3.0962096814956888
15,IMT,15,3.09621108699363
16,IMT,16,3.096185747891003
17,IMT,17,3.0961736662416786
18,IMT,18,3.0960282564249413
19,IMT,19,3.096007475168385
20,IMT,20,3.09565772354202
21,IMT,21,3.0955073481537725
22,IMT,22,3.0955075132860816
23,IMT,23,3.0955246288846547
24,IMT,24,3.095520902267534
25,IMT,25,3.095523113176522
26,IMT,26,3.0955250330263997
27,IMT,27,3.0955216339108667
28,IMT,28,3.095257490543688
29,IMT,29,3.095256993447656
30,IMT,30,3.09525557108226
31,IMT,31,3.095254038940606
32,IMT,32,3.0952553170625574
33,IMT,33,3.0952488339848863
34,IMT,34,3.095248855717777
35,IMT,35,3.0940698671296913
36,IMT,36,3.0935877092320276
37,IMT,37,3.093576664059797
38,IMT,38,3.0935910233241124
39,IMT,39,3.093585213480834
40,IMT,40,3.0935891989668525
41,IMT,41,3.093591083976228
42,IMT,42,3.09359046062722
43,IMT,43,3.093592166792409
44,IMT,44,3.0935920925949785
45,IMT,45,3.0921975652790255
46,IMT,46,3.0922007704334717
47,IMT,47,3.092216376516186
48,IMT,48,3.0922161020776815
49,IMT,49,3.092217212943232
50,IMT,0,4.098910106438224
51,IMT,1,4.0986887868129465
52,IMT,2,4.098627993763644
53,IMT,3,4.098161524270455
54,IMT,4,4.0980976107266045
55,IMT,5,4.098022424675888
56,IMT,6,4.097890994866094
57,IMT,7,4.097239860896269
58,IMT,8,4.096983316540572
59,IMT,9,4.096785741831078
60,IMT,10,4.096677106866775
61,IMT,11,4.096355115468784
62,IMT,12,4.096208580206093
63,IMT,13,4.0960985562436365
64,IMT,14,4.095931067309226
65,IMT,15,4.095593944229012
66,IMT,16,4.095492844169048
67,IMT,17,4.095403336555084
68,IMT,18,4.0952895433984535
69,IMT,19,4.095179398626668
70,IMT,20,4.095112506169005
71,IMT,21,4.094419926382334
72,IMT,22,4.0943231076648
73,IMT,23,4.09417494874521
74,IMT,24,4.093817466079646
75,IMT,25,4.0937663281089005
76,IMT,26,4.0935321915694285
77,IMT,27,4.093309372638739
78,IMT,28,4.093128705870367
79,IMT,29,4.093002180353453
80,IMT,30,4.092782771925711
81,IMT,31,4.092547359966543
82,IMT,32,4.092406722338539
83,IMT,33,4.09195120021576
84,IMT,34,4.091870090192659
85,IMT,35,4.0916497373886855
86,IMT,36,4.091473716377509
87,IMT,37,4.091298934143926
88,IMT,38,4.091155488306479
89,IMT,39,4.091110281543033
90,IMT,40,4.090932715060326
91,IMT,41,4.090194943060004
92,IMT,42,4.090117903586025
93,IMT,43,4.090042905711658
94,IMT,44,4.089528498792919
95,IMT,45,4.089415524338568
96,IMT,46,4.089203601440421
97,IMT,47,4.088296113393236
98,IMT,48,4.088107308257367
99,IMT,49,4.087999717281139
100,ITAL,0,3.0966124133434163
101,ITAL,1,3.0119810686022777
102,ITAL,2,2.8783020507567274
103,ITAL,3,2.7596841993721766
104,ITAL,4,2.6428291303519065
105,ITAL,5,2.5261233885882133
106,ITAL,6,2.4191347620500565
107,ITAL,7,2.383490132175926
108,ITAL,8,2.2849829254959206
109,ITAL,9,2.1829212294070737
110,ITAL,10,2.0879352530265085
111,ITAL,11,1.9914805638631723
112,ITAL,12,1.9553969001292273
113,ITAL,13,1.8891585070254824
114,ITAL,14,1.809327418871413
115,ITAL,15,1.7312055869565819
116,ITAL,16,1.6573991991248174
117,ITAL,17,1.5903925287859522
118,ITAL,18,1.523137441333168
119,ITAL,19,1.4829548104645298
120,ITAL,20,1.4295774560557524
121,ITAL,21,1.3807642984986455
122,ITAL,22,1.3339230361522434
123,ITAL,23,1.2999156241822813
124,ITAL,24,1.265393080302288
125,ITAL,25,1.2130433929763116
126,ITAL,26,1.1803003819114015
127,ITAL,27,1.148135236474102
128,ITAL,28,1.1146497738118917
129,ITAL,29,1.0823762440959135
130,ITAL,30,1.051064154438707
131,ITAL,31,1.0129630884692347
132,ITAL,32,0.9762424587977259
133,ITAL,33,0.9432376839618879
134,ITAL,34,0.9154939147942504
135,ITAL,35,0.8911257353855739
136,ITAL,36,0.8707598122762616
137,ITAL,37,0.8432989227919246
138,ITAL,38,0.8284692204877728
139,ITAL,39,0.8088142112968609
140,ITAL,40,0.7868525661770274
141,ITAL,41,0.7884569782098255
142,ITAL,42,0.7590128685143289
143,ITAL,43,0.7443152594714191
144,ITAL,44,0.7304328023685864
145,ITAL,45,0.7151339910713786
146,ITAL,46,0.6892802985878997
147,ITAL,47,0.6764136484032788
148,ITAL,48,0.6619211478025688
149,ITAL,49,0.6518104029407664
150,ITAL,0,4.098910106438224
151,ITAL,1,4.010580772019205
152,ITAL,2,3.923185040224273
153,ITAL,3,3.825700586965774
154,ITAL,4,3.7335897190264062
155,ITAL,5,3.626367770553071
156,ITAL,6,3.538757658104504
157,ITAL,7,3.457447801266877
158,ITAL,8,3.382272232769031
159,ITAL,9,3.2973532112544746
160,ITAL,10,3.2353208328811207
161,ITAL,11,3.1559027361972105
162,ITAL,12,3.057259089619882
163,ITAL,13,2.9890895473627026
164,ITAL,14,2.9368853605974676
165,ITAL,15,2.847278127472921
166,ITAL,16,2.788104084629792
167,ITAL,17,2.73316769471334
168,ITAL,18,2.682322426300534
169,ITAL,19,2.612740467048721
170,ITAL,20,2.5401816614960313
171,ITAL,21,2.4809774196907806
172,ITAL,22,2.4235027530130617
173,ITAL,23,2.361253443552625
174,ITAL,24,2.3196242877486957
175,ITAL,25,2.2569149067216423
176,ITAL,26,2.208714066241221
177,ITAL,27,2.1532165232977967
178,ITAL,28,2.122269294018019
179,ITAL,29,2.0799024945607614
180,ITAL,30,2.031530868432709
181,ITAL,31,1.9658143232718204
182,ITAL,32,1.902271746050796
183,ITAL,33,1.8604718172505672
184,ITAL,34,1.8106126511819944
185,ITAL,35,1.7606963857068105
186,ITAL,36,1.743325879755942
187,ITAL,37,1.713865916568117
188,ITAL,38,1.6621834573371987
189,ITAL,39,1.6237560507448738
190,ITAL,40,1.5754333659625126
191,ITAL,41,1.5230175502418302
192,ITAL,42,1.4860097907474599
193,ITAL,43,1.458614209952073
194,ITAL,44,1.4298635806998068
195,ITAL,45,1.3804866599287557
196,ITAL,46,1.3487178599908363
197,ITAL,47,1.3202704202284683
198,ITAL,48,1.2869559164037407
199,ITAL,49,1.2599378986393575
200,Batch,0,3.096612424389961
201,Batch,1,3.0947130542897723
202,Batch,2,3.0929791735691006
203,Batch,3,3.091427280099178
204,Batch,4,3.0895282967920297
205,Batch,5,3.0874252058605633
206,Batch,6,3.0856258925616142
207,Batch,7,3.0839477907142365
208,Batch,8,3.082256105784787
209,Batch,9,3.0804515674895634
210,Batch,10,3.078553317730737
211,Batch,11,3.0766540314721467
212,Batch,12,3.074743630320712
213,Batch,13,3.073071802802363
214,Batch,14,3.0713374008182837
215,Batch,15,3.069245669961821
216,Batch,16,3.0675453393588903
217,Batch,17,3.065608529584946
218,Batch,18,3.063860641845636
219,Batch,19,3.0620278890288217
220,Batch,20,3.060468430279641
221,Batch,21,3.0584573951294782
222,Batch,22,3.0566356845129268
223,Batch,23,3.0544642862626774
224,Batch,24,3.052761523204101
225,Batch,25,3.050703285754897
226,Batch,26,3.048961449890809
227,Batch,27,3.0471470270763437
228,Batch,28,3.045237494428905
229,Batch,29,3.042887765202527
230,Batch,30,3.0411119987853206
231,Batch,31,3.039221120840715
232,Batch,32,3.037537197378459
233,Batch,33,3.0355597057988684
234,Batch,34,3.033803087658847
235,Batch,35,3.031937533833851
236,Batch,36,3.0299503394429443
237,Batch,37,3.0280015296523803
238,Batch,38,3.0262001565625654
239,Batch,39,3.0243481423692677
240,Batch,40,3.022288296641595
241,Batch,41,3.0204708534440057
242,Batch,42,3.0193502932738565
243,Batch,43,3.0179429110300773
244,Batch,44,3.01623390961687
245,Batch,45,3.014589195167298
246,Batch,46,3.012421938903974
247,Batch,47,3.010637945779901
248,Batch,48,3.009307983048629
249,Batch,49,3.0075868647772235
250,Batch,0,4.098910119146419
251,Batch,1,4.097646882158854
252,Batch,2,4.095758847944908
253,Batch,3,4.093941233851311
254,Batch,4,4.092253987564173
255,Batch,5,4.090336253543277
256,Batch,6,4.088753880348435
257,Batch,7,4.086938307004246
258,Batch,8,4.0849430474418105
259,Batch,9,4.083016066107947
260,Batch,10,4.081278798890442
261,Batch,11,4.079625167728268
262,Batch,12,4.077716149817718
263,Batch,13,4.075531062101362
264,Batch,14,4.073966601210557
265,Batch,15,4.072303010539583
266,Batch,16,4.070374190225222
267,Batch,17,4.068646498261184
268,Batch,18,4.066350711695112
269,Batch,19,4.064499718992719
270,Batch,20,4.062597548103391
271,Batch,21,4.061174997690403
272,Batch,22,4.05949051570293
273,Batch,23,4.057431198563471
274,Batch,24,4.05580834686843
275,Batch,25,4.054249704343372
276,Batch,26,4.052037226411767
277,Batch,27,4.050240553176401
278,Batch,28,4.048438011864004
279,Batch,29,4.046861341142892
280,Batch,30,4.045373057403492
281,Batch,31,4.04325391016721
282,Batch,32,4.041302302385745
283,Batch,33,4.039104613496596
284,Batch,34,4.037717088595108
285,Batch,35,4.03605185285483
286,Batch,36,4.034281950028279
287,Batch,37,4.032332492352174
288,Batch,38,4.0307737089114966
289,Batch,39,4.02901388855268
290,Batch,40,4.027394623035042
291,Batch,41,4.025548485257783
292,Batch,42,4.024126990558416
293,Batch,43,4.022568614317398
294,Batch,44,4.020716820449306
295,Batch,45,4.018871581840662
296,Batch,46,4.016716624458003
297,Batch,47,4.014983547254036
298,Batch,48,4.013082783416577
299,Batch,49,4.01157643184986
300,SGD,0,3.096612424389961
301,SGD,1,3.0955452199101683
302,SGD,2,3.0946970928072424
303,SGD,3,3.093894036442696
304,SGD,4,3.090759627573987
305,SGD,5,3.088672900131156
306,SGD,6,3.0853096498506676
307,SGD,7,3.0829695162432937
308,SGD,8,3.0814796504503845
309,SGD,9,3.0791445555179133
310,SGD,10,3.0780487181190903
311,SGD,11,3.077618313615156
312,SGD,12,3.076529981858103
313,SGD,13,3.075093135025118
314,SGD,14,3.0751054241372833
315,SGD,15,3.075098243050107
316,SGD,16,3.07268589173537
317,SGD,17,3.071514250295061
318,SGD,18,3.0687679469726286
319,SGD,19,3.0687662526104837
320,SGD,20,3.0687383437567255
321,SGD,21,3.0677749776322396
322,SGD,22,3.067777363019243
323,SGD,23,3.065111938953122
324,SGD,24,3.062760525106517
325,SGD,25,3.0627643277385825
326,SGD,26,3.0604969099784336
327,SGD,27,3.058330226623528
328,SGD,28,3.05748171328144
329,SGD,29,3.055555597001202
330,SGD,30,3.0534874628365705
331,SGD,31,3.053483135049969
332,SGD,32,3.052204507614883
333,SGD,33,3.0511188821583755
334,SGD,34,3.0482289781373044
335,SGD,35,3.0459309813815545
336,SGD,36,3.044200781715848
337,SGD,37,3.0417789857724338
338,SGD,38,3.041328997459211
339,SGD,39,3.041275706565355
340,SGD,40,3.039012907716803
341,SGD,41,3.0365536589108104
342,SGD,42,3.0342085062242337
343,SGD,43,3.0342064408018565
344,SGD,44,3.0317119120844023
345,SGD,45,3.0311670943686306
346,SGD,46,3.029157513010689
347,SGD,47,3.0264111706718246
348,SGD,48,3.022999280098951
349,SGD,49,3.020582774235125
350,SGD,0,4.098910119146419
351,SGD,1,4.096285118634514
352,SGD,2,4.096111140138309
353,SGD,3,4.093278848653775
354,SGD,4,4.090792367873865
355,SGD,5,4.0899615187045715
356,SGD,6,4.087081614651088
357,SGD,7,4.086342988790226
358,SGD,8,4.086154066297322
359,SGD,9,4.085479752140035
360,SGD,10,4.082448134720147
361,SGD,11,4.081084544583523
362,SGD,12,4.080675420587706
363,SGD,13,4.079317453722737
364,SGD,14,4.078530601940672
365,SGD,15,4.076836123547223
366,SGD,16,4.074141491392903
367,SGD,17,4.0715643542409525
368,SGD,18,4.069001575250962
369,SGD,19,4.066995529312475
370,SGD,20,4.065071861350105
371,SGD,21,4.062013001261699
372,SGD,22,4.060455551457834
373,SGD,23,4.058319851058101
374,SGD,24,4.055321574163369
375,SGD,25,4.052967664591
376,SGD,26,4.051075165958917
377,SGD,27,4.047914355219279
378,SGD,28,4.046324760112976
379,SGD,29,4.04606046146862
380,SGD,30,4.04361087504447
381,SGD,31,4.042945815044143
382,SGD,32,4.040314664826094
383,SGD,33,4.037130735554546
384,SGD,34,4.035999079781915
385,SGD,35,4.034092205074169
386,SGD,36,4.033153692558694
387,SGD,37,4.0312188524611905
388,SGD,38,4.028424303454711
389,SGD,39,4.027908125054892
390,SGD,40,4.026861577883275
391,SGD,41,4.023635075205572
392,SGD,42,4.022975501395566
393,SGD,43,4.019992502020932
394,SGD,44,4.019853414773549
395,SGD,45,4.019764886312583
396,SGD,46,4.017431222390901
397,SGD,47,4.014291985483071
398,SGD,48,4.012404154639338
399,SGD,49,4.012243558589295
